ID,Tipo,SKU,Nombre,Publicado,"¿Es destacado?","Visibilidad en catálogo","Descripción corta",Descripción,"Fecha de inicio de oferta","Fecha de fin de oferta","Status de Impuesto","Clase de impuesto","¿En existencia?",Disponibilidad,"Cantidad de bajas existencias","¿Permitir sobre pedidos?","¿Vender individualmente?","Peso (kg)","Largo (cm)","Ancho (cm)","Alto (cm)","¿Permitir opiniones de los clientes?","Nota de compra","Precio de oferta:","Precio regular:",Categorías,Etiquetas,"Clase de Envío",Imágenes,"Límite de descarga","Caducidad en días de descarga",Padre,"Productos agrupados.","Productos-complementarios (Up-Sells)","Ventas Cruzadas","URL externa","Texto del botón",Posición,"Meta: _ecwid_product_id"
9,simple,,"Crash Bandicoot",1,0,visible,"<h6>El juego tiene veinticinco niveles normales, dos niveles secretos y seis batallas de jefe. Los seis jefes son el líder de la aldea, llamado <a title=""Papu Papu"" href=""https://es.wikipedia.org/wiki/Papu_Papu"">Papu Papu</a>, el <a class=""mw-redirect"" title=""Demente"" href=""https://es.wikipedia.org/wiki/Demente"">demente</a> <a title=""Ripper Roo"" href=""https://es.wikipedia.org/wiki/Ripper_Roo"">Ripper Roo</a>, el musculoso <a title=""Koala Kong"" href=""https://es.wikipedia.org/wiki/Koala_Kong"">Koala Kong</a>, el pistolero <a title=""Pinstripe Potoroo"" href=""https://es.wikipedia.org/wiki/Pinstripe_Potoroo"">Pinstripe Potoroo</a>, el doctor <a title=""Nitrus Brio"" href=""https://es.wikipedia.org/wiki/Nitrus_Brio"">Nitrus Brio</a> y, finalmente, el propio <a title=""Doctor Neo Cortex"" href=""https://es.wikipedia.org/wiki/Doctor_Neo_Cortex"">Doctor Neo Cortex</a>. El jugador debe seguir un camino en un ambiente limitado derrotando a enemigos, evitando hoyos y rompiendo cajas, que cada una contiene una distinta cantidad de fruta Wumpa</h6>",,,,taxable,,1,10,,0,0,,,,,1,,,600,"Marca activision",,,http://localhost/wordpress/wp-content/uploads/2019/04/crash.jpg,,,,,,,,,0,136383948
17,simple,,"Call of Duty",1,0,visible,"El juego es el sucesor espiritual del videojuego Medal of Honor Allied Assault <i> </i>que fue desarrollado por 2015 , que simula la infantería  y armas combinadas  de la segunda guerra mundial.",,,,taxable,,1,,,0,0,,,,,1,,,360,"Marca activision",,,http://localhost/wordpress/wp-content/uploads/2019/04/calll.jpg,,,,,,,,,0,136383948
19,simple,,Overwatch,1,0,visible,"<i>Overwatch</i> pone a los jugadores en equipos de seis personas, con cada persona escogiendo uno de varios héroes disponibles, cada uno con movimientos y habilidades únicas. Los héroes están divididos en tres clases: Daño, Tanque y Apoyo.",,,,taxable,,1,10,,0,0,,,,,1,,,850,"Marca Blizzard Entertaiment",,,http://localhost/wordpress/wp-content/uploads/2019/04/overwatch-1.jpg,,,,,,,,,0,136383948
21,simple,,Hearthstone,1,0,visible,"Es un juego de cartas coleccionable .  Está centrado en el universo de Warcraft.",,,,taxable,,1,10,,0,0,,,,,1,,,600,"Marca Blizzard Entertaiment, oferta",,,http://localhost/wordpress/wp-content/uploads/2019/04/heartshone-1.jpg,,,,,,,,,0,136383948
23,simple,,"Resident Evil",1,0,visible,"la saga principal de videojuegos, como en otros medios, la trama gira en torno al mismo conflicto: la amenaza bioterrorista. Un peligroso virus se ha propagado por error o intencionalmente por la Corporation Umbrella, este al infectar a los humanos, los transforma en seres amorfos y monstruos.",,,,taxable,,1,10,,0,0,,,,,1,,,,"Sin categorizar",,,http://localhost/wordpress/wp-content/uploads/2019/04/220px-Resident_Evil_7_cover_art.jpg,,,,,,,,,0,136383948
25,simple,,"Street Fighter",1,0,visible,"En el género de la lucha, esta serie fue la pionera en usar combinaciones de botones para ejecutar golpes especiales, como presionar dos botones a la vez o ejecutar movimientos diagonales con el control.",,,,taxable,,1,10,,0,0,,,,,1,,,345.50,"Marca Capcom",,,http://localhost/wordpress/wp-content/uploads/2019/04/street-fighter-characters-i30393.jpg,,,,,,,,,0,136383948
28,simple,,"Fifa 18",1,0,visible,"Es un videojuego de fútbol, desarrollado por Electronic Arts y publicado por EA Sports  Canadá y EA Sports Rumania. Es el 25.º de la serie de videojuegos de la FIFA .",,,,taxable,,1,10,,0,0,,,,,1,,,840,"Marca Electronic Arts",,,http://localhost/wordpress/wp-content/uploads/2019/04/fifaaaaa.png,,,,,,,,,0,136383948
30,simple,,"star wars battlefront",1,0,visible,"<span>es una serie de videojuegos de disparos en primera persona </span><span>basados ​​en las películas de Star wars. </span><span>Los jugadores asumen el papel de soldados en cualquiera de los dos ejércitos opuestos en diferentes períodos de tiempo del universo de</span><i><span> Star Wars</span></i><span> .</span>",,,,taxable,,1,,,0,0,,,,,1,,,559.5,"Marca Electronic Arts",,,http://localhost/wordpress/wp-content/uploads/2019/04/star-wars.jpg,,,,,,,,,0,136383948
32,simple,,"The legend of zelda",1,0,visible,"Su trama por lo general describe las heroicas aventuras del joven guerrero Link que debe enfrentarse a peligros y resolver acertijos para ayudar a la princesa Zelda  a derrotar a Ganondorf  y salvar su hogar, el reino de Hyrule",,,,taxable,,1,10,,0,0,,,,,1,,,320,"Marca Nintendo",,,http://localhost/wordpress/wp-content/uploads/2019/04/zelda.jpg,,,,,,,,,0,136383948
34,simple,,"Super Mario Odyssey",1,0,visible,"es un videojuego de plataformas de mundo abierto para Nintendo que se lanzó en Japón y Estados Unidos",,,,taxable,,1,10,,0,0,,,,,1,,,520,"Marca Nintendo",,,http://localhost/wordpress/wp-content/uploads/2019/04/mariooooooooooooo.jpg,,,,,,,,,0,136383948
36,simple,,Manhunt,1,0,visible,"Es un videojuego de sigilo y  terror psicológico desarrollado por ￼￼Rockstar North",,,,taxable,,1,10,,0,0,,,,,1,,,345.90,"Marca Rockstar Games",,,http://localhost/wordpress/wp-content/uploads/2019/04/manhunttttt.jpg,,,,,,,,,0,136383948
38,simple,,"RED  DEAD REDEMPTION 2",1,0,visible,"Es un videojuego de acción-aventura western  en un mundo abierto y en perspectiva de primera y tercera persona ​ con componentes para un jugador  y multijugador.",,,,taxable,,1,10,,0,0,,,,,1,,,323.5,"Marca Rockstar Games",,,http://localhost/wordpress/wp-content/uploads/2019/04/reeeeeed.jpg,,,,,,,,,0,136383948
40,simple,,"sonic the hedgehog",1,0,visible,"Es un personaje de ficción, protagonista de la saga de videojuegos del mismo nombre y la mascota creada por y para Sega .  Es el personaje principal de la saga con su mismo nombre; también está presente en cómics, dibujos animados y libros",,,,taxable,,1,10,,0,0,,,,,1,,,310.50,"Marca Sega",,,http://localhost/wordpress/wp-content/uploads/2019/04/sega.jpg,,,,,,,,,0,136383948
42,simple,,"GOLDEN AXE",1,0,visible,"El videojuego se ambienta en una edad media fantástica en la que un villano llamado Death Adder , aterroriza a los lugareños del reino de Yuria y ha raptado a la princesa y al rey",,,,taxable,,1,10,,0,0,,,,,1,,,400,"Marca Sega",,,http://localhost/wordpress/wp-content/uploads/2019/04/golden-axe.jpg,,,,,,,,,0,136383948
44,simple,,"God of war",1,0,visible,"es una serie de videojuegos en 3.ª persona creada por Santa Monica Studio  y distribuida por Sony Computer Entertainment  Se basa en las aventuras de un sentido espartano Kratos quién se enfrenta a diversos personajes de la mitología griega.",,,,taxable,,1,10,,0,0,,,,,1,,,560,"Marca Sony Computer Entertaiment",,,http://localhost/wordpress/wp-content/uploads/2019/04/full_width_image_DESKTOP.png,,,,,,,,,0,136383948
46,simple,,"DETROIT:BECOME HUMAN",1,0,visible,"<i><b>Detroit: Become Human</b></i> es un videojuego de aventura grafica y acción  desarrollado por Quantic Dream  y publicado por Sony Interactive Entertainment .",,,,taxable,,1,10,,0,0,,,,,1,,,620,"Marca Sony Computer Entertaiment",,,http://localhost/wordpress/wp-content/uploads/2019/04/detroit.jpg,,,,,,,,,0,136383948
49,simple,,"crash bandicoot",'-1,0,visible,"<p><br data-mce-bogus=""1""></p>",,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,,,,,,0,
84,simple,,"YU-GI-OH DUEL LINKS",1,0,visible,"<span>El juego utiliza un formato conocido como ""Duelos de velocidad"" que utiliza las reglas del juego de cartas . </span><span>Con diversas modificaciones. Los jugadores tienen 4000 Puntos de Vida, se elimina la Fase Principal 2, el número de zonas de monstruo y la zona de hechizo / trampa se reducen a 3 de 5, el tamaño de la Cubierta Principal se reduce de 20 a 30 cartas cada una de 40 a 60 y la Cubierta Extra se reduce de 5 a 5, y los jugadores comienzan con una mano de 4 cartas en lugar de 5.</span>",,,,taxable,,1,10,,0,0,,,,,1,,,240,"Marca Konami",,,http://localhost/wordpress/wp-content/uploads/2019/04/unooooooooooooooooo.jpg,,,,,,,,,0,136383948
86,simple,,Castlevania,1,0,visible,"La serie Castlevania trata sobre una guerra entre los descendientes de la familia Belmont y el conde Drácula. Cada cien años, Drácula resucita y es la labor del clan Belmont derrotarlo antes de que cause mucho dolor y sufrimiento.",,,,taxable,,1,10,,0,0,,,,,1,,100,320,"Marca Konami, oferta",,,http://localhost/wordpress/wp-content/uploads/2019/04/dos.jpg,,,,,,,,,0,136383948
88,simple,,"Silent Hill",1,0,visible,"La trama de los juegos indican que Silent Hill era un lugar sagrado para los nativos americanos que residían en el área, debido a un poder que contiene la ciudad. Tras la llegada de los colonos a América, el poder fue completamente distorsionado en el curso de la historia. Este poder da forma a los pensamientos más profundos de las personas, proyectando elementos tangibles de sus mentes.",,,,taxable,,1,10,,0,0,,,,,1,,,400,"Marca Konami",,,http://localhost/wordpress/wp-content/uploads/2019/04/tres.jpg,,,,,,,,,0,136383948
90,simple,,Contra,1,0,visible,"Es un juego de plataformas con vista lateral, y el objetivo del juego es avanzar a través de los niveles saltando y disparando a los enemigos en pantalla para poder avanzar. Al final de cada nivel, debes derrotar a un jefe para avanzar al siguiente nivel.",,"2019-04-13 0:00:00","2019-04-21 0:00:00",taxable,,1,10,,0,0,,,,,1,,250,450,"Marca Konami, oferta",,,http://localhost/wordpress/wp-content/uploads/2019/04/cuatro.jpg,,,,,,,,,0,136383948
93,simple,,"ZONE OF THE ENDERS",1,0,visible,"Es el juego que le da origen a la franquicia. Su historia gira en torno a un chico llamado Leo Stenbuck, habitante de una colonia espacial (Antilia) que se encuentra orbitando Jupiter, que accidentalmente termina pilotando al Robot de combate Jehuty.",,,,taxable,,0,0,,0,0,,,,,1,,,820,"Marca Konami",,,http://localhost/wordpress/wp-content/uploads/2019/04/ZONEEEEE.jpg,,,,,,,,,0,136383948
95,simple,,Splatoon,1,0,visible,"es un videojuego de disparos en tercera persona",,,,taxable,,1,10,,0,0,,,,,1,,,,"Marca Nintendo",,,http://localhost/wordpress/wp-content/uploads/2019/04/muere.jpg,,,,,,,,,0,136383948
97,simple,,Kirby,1,0,visible,"La mayoría de los títulos son videojuegos de plataforma  en los que Kirby debe combatir enemigos, resolver rompecabezas y desafiar a  jefes finales",,"2019-04-20 0:00:00","2019-04-30 0:00:00",taxable,,1,10,,0,0,,,,,1,,620,820,"Marca Nintendo, oferta",,,http://localhost/wordpress/wp-content/uploads/2019/04/kirbyy.jpg,,,,,,,,,0,136383948
99,simple,,"FIRE EMBLEM",1,0,visible,"Es una serie de juegos de estrategias por turnos en los que el jugador maneja sus unidades/personajes por un mapa con el objetivo de derrotar a los enemigos para cumplir con la misión del capítulo: tomar un castillo, sobrevivir determinados turnos el ataque enemigo, acabar con todos los enemigos del mapa o derrotar a un jefe",,,,taxable,,1,10,,0,0,,,,,1,,,820,"Marca Nintendo",,,http://localhost/wordpress/wp-content/uploads/2019/04/fire1.jpg,,,,,,,,,0,136383948
102,simple,,"Pokemon Lets go Pikachu! lets go Eevee",1,0,visible,"Los juegos se desarrollan en la región de Kanto. Cuenta con los elementos comunes de la franquicia, como entrenadores pokémon y combates de gimnasio, pero la mecánica para capturar es diferente.",,,,taxable,,1,,,0,0,,,,,1,,,800,"Marca Nintendo",,,http://localhost/wordpress/wp-content/uploads/2019/04/pokeon.jpg,,,,,,,,,0,136383948
104,simple,,"fire emblem heroes",1,0,visible,"Los jugadores pueden invocar a personajes de la saga Fire Emblem <i></i> contra los enemigos en mapas que usan una cuadrícula",,,,taxable,,1,,,0,0,,,,,1,,,800,"Marca Nintendo",,,http://localhost/wordpress/wp-content/uploads/2019/04/emblem-1.jpg,,,,,,,,,0,136383948
106,simple,600,"grand theft auto v",1,0,visible,"es un videojuego de acción y aventura  del  mundo abierto",,,,taxable,,1,10,,0,0,,,,,1,,,340,"Marca Rockstar Games",,,http://localhost/wordpress/wp-content/uploads/2019/04/grand.jpg,,,,,,,,,0,136383948
109,simple,,"L.A. NOIRE",1,0,visible,"El juego combina elementos de investigación —como misterio y crímenes por resolver— propios del género de las aventuras gráficas , con secuencias de acción en tercera persona, como persecuciones y tiroteos",,,,taxable,,1,,,0,0,,,,,1,,,520,"Marca Rockstar Games",,,http://localhost/wordpress/wp-content/uploads/2019/04/NOIRE.jpg,,,,,,,,,0,136383833
111,simple,,BULLY,1,0,visible,"El objetivo de bully consiste en completar una serie de misiones principales que el jugador debe superar para completar el juego, y paralelas a estas, una serie de misiones secundarias. La historia principal del juego es lineal, pero el orden de desarrollo del juego no lo es tanto.",,"2019-04-13 0:00:00","2019-04-20 0:00:00",taxable,,1,10,,0,0,,,,,1,,250,500,"Marca Rockstar Games, oferta",,,http://localhost/wordpress/wp-content/uploads/2019/04/bully.jpg,,,,,,,,,0,136383833
113,simple,,"MAX PAYNE 3",1,0,visible,"Max Payne 3 presenta un modo mejorado del bullet time con más detalles del mundo y del juego como son los casquillos de bala. Una nueva variante será el bullet time ambiental, este se refiere a cuando la velocidad del juego se ralentice (sin la acción del jugador) en ciertos eventos donde es necesario.",,,,taxable,,1,10,,0,0,,,,,1,,,250,"Marca Rockstar Games",,,http://localhost/wordpress/wp-content/uploads/2019/04/max-payne.jpg,,,,,,,,,0,136383833
115,simple,,"Midnight Club:Los angeles",1,0,visible,"es una serie de videojuegos de carreras",,,,taxable,,1,10,,0,0,,,,,1,,,500,"Marca Rockstar Games",,,http://localhost/wordpress/wp-content/uploads/2019/04/JKN.jpg,,,,,,,,,0,136383833
122,simple,,"SEGA GENESIS CLASSIC",1,0,visible,"Sega Genesis Classics es un videojuego que recopila más de 50 títulos de la consola Sega Genesis.",,,,taxable,,1,10,,0,0,,,,,1,,,499,"Marca Sega",,,http://localhost/wordpress/wp-content/uploads/2019/04/FLD-226_338857259.jpg,,,,,,,,,0,136383833
124,simple,,"COMIX ZONE",1,0,visible,"Comix Zone es un videojuego de acción estilo arcade",,,,taxable,,1,10,,0,0,,,,,1,,,100,"Marca Sega",,,http://localhost/wordpress/wp-content/uploads/2019/04/1501494351_328071_1501495092_album_normal.jpg,,,,,,,,,0,136383833
126,simple,,"Altered Beast",1,0,visible,"es un videojuego de acción y aventuras",,,,taxable,,1,,,0,0,,,,,1,,,50,"Marca Sega",,,http://localhost/wordpress/wp-content/uploads/2019/04/1_altered_beast.jpg,,,,,,,,,0,136383833
128,simple,,"Street of Rage 2",1,0,visible,"El juego introduce dos nuevos personajes: Max Thunder and Eddie ""Skate"" Hunter, hermano de Adam Hunter del juego original.",,,,taxable,,1,10,,0,0,,,,,1,,,50,"Marca Sega",,,http://localhost/wordpress/wp-content/uploads/2019/04/streets.jpg,,,,,,,,,0,136383833
130,simple,,"Gunstar Super Heroes",1,0,visible,"<span>es unvideojuego de</span><a title=""Dispara a todos"" href=""https://en.wikipedia.org/wiki/Shoot_%27em_up#Run_and_gun""><span> carreras</span></a>",,,,taxable,,1,10,,0,0,,,,,1,,,100,"Marca Sega",,,http://localhost/wordpress/wp-content/uploads/2019/04/1130094060_094060_000001_album_normal.jpg,,,,,,,,,0,136383833
132,simple,,"Horizon Zero Dawn",1,0,visible,"El juego está protagonizado por Aloy, una <a title=""Guerrero"" href=""https://es.wikipedia.org/wiki/Guerrero"">guerrera</a> de la <a title=""Tribu"" href=""https://es.wikipedia.org/wiki/Tribu"">tribu</a> de los Nora y está ambientado en un futuro <a class=""mw-redirect"" title=""Post-apocalíptico"" href=""https://es.wikipedia.org/wiki/Post-apocal%C3%ADptico"">post-apocalíptico</a> donde las máquinas son la raza dominante de la <a title=""Tierra"" href=""https://es.wikipedia.org/wiki/Tierra"">Tierra</a>",,,,taxable,,1,10,,0,0,,,,,1,,,810,"Marca Sony Computer Entertaiment",,,http://localhost/wordpress/wp-content/uploads/2019/04/450_1000.jpg,,,,,,,,,0,136383833
134,simple,,"Shadow Of The Colossus",1,0,visible,"El juego <b>trata</b> de un joven, conocido únicamente como Wander\n\nque debe viajar a caballo a través de un vasto territorio y derrotar a 16 gigantes",,,,taxable,,1,10,,0,0,,,,,1,,400,420,"Marca Sony Computer Entertaiment",,,http://localhost/wordpress/wp-content/uploads/2019/04/shadow_of_the_colossus__2017_-3870229.jpg,,,,,,,,,0,136383833
136,simple,,"Gran Turismo",1,0,visible,"Es un juego de <a title=""Simulación"" href=""https://es.wikipedia.org/wiki/Simulaci%C3%B3n"">simulación</a> de carreras en el cual el jugador tiene que competir en diferentes circuitos para ir avanzando en este.",,,,taxable,,1,10,,0,0,,,,,1,,,800,"Marca Sony Computer Entertaiment",,,http://localhost/wordpress/wp-content/uploads/2019/04/maxresdefault.jpg,,,,,,,,,0,136383833
139,simple,,"Days Gone",1,0,visible,"es un videojuego de acción y survival horror ambientado en un entorno de mundo abierto",,,,taxable,,1,10,,0,0,,,,,1,,,400,"Marca Sony Computer Entertaiment",,,http://localhost/wordpress/wp-content/uploads/2019/04/1548178597_192878_1548178860_noticia_normal.jpg,,,,,,,,,0,136383833
141,simple,,Bloodborne,1,0,visible,"El videojuego sigue las acciones del personaje del jugador, el Cazador, a través de Yharnam, una ciudad ficticia de estilo <a title=""Época victoriana"" href=""https://es.wikipedia.org/wiki/%C3%89poca_victoriana"">victoriano</a>, cuyos habitantes han sido afectados con una enfermedad de transmisión sanguínea anormal.",,,,taxable,,1,10,,0,0,,,,,1,,,800,"Marca Sony Computer Entertaiment",,,http://localhost/wordpress/wp-content/uploads/2019/04/maxresdefault-1.jpg,,,,,,,,,0,136383833
143,simple,,"Tom Clancys The Division",1,0,visible,"es un <a title=""Videojuego"" href=""https://es.wikipedia.org/wiki/Videojuego"">videojuego</a> perteneciente al género de <a title=""Videojuego multijugador en línea"" href=""https://es.wikipedia.org/wiki/Videojuego_multijugador_en_l%C3%ADnea"">multijugador en línea</a>, en <a title=""Videojuego de disparos en tercera persona"" href=""https://es.wikipedia.org/wiki/Videojuego_de_disparos_en_tercera_persona"">tercera persona</a>, de <a title=""Videojuego de disparos táctico"" href=""https://es.wikipedia.org/wiki/Videojuego_de_disparos_t%C3%A1ctico"">disparos táctico</a> y <a title="""" href=""https://es.wikipedia.org/wiki/Videojuego_de_rol_de_acci%C3%B3n"">rol de acción</a>",,,,taxable,,1,10,,0,0,,,,,1,,,900,"Marca Ubisofy",,,http://localhost/wordpress/wp-content/uploads/2019/04/101_07.jpg,,,,,,,,,0,136383833
145,simple,,"Assassins Creed",1,0,visible,"Miles es el último descendiente de un extenso linaje perteneciente a la milenaria Hermandad de los <a class=""mw-redirect"" title=""Hashshashin"" href=""https://es.wikipedia.org/wiki/Hashshashin"">hashshashin</a> o <a title="""" href=""https://es.wikipedia.org/wiki/Nizar%C3%ADes"">asesinos</a>.",,,,taxable,,1,10,,0,0,,,,,1,,120,300,"Marca Ubisofy",,,http://localhost/wordpress/wp-content/uploads/2019/04/Accover.jpg,,,,,,,,,0,136383833
147,simple,,"For Honor",1,0,visible,"en el que juegas como un caballero, un vikingo o un samurai, para luchar contra otros guerreros en un fiero combate cuerpo a cuerpo",,,,taxable,,1,10,,0,0,,,,,1,,,700,"Marca Ubisofy",,,http://localhost/wordpress/wp-content/uploads/2019/04/for-honor-970x570.jpg,,,,,,,,,0,136383833
149,simple,,"Toms Clancy's Rainbow Six Siege",1,0,visible,"es un videojuego de <a class=""mw-redirect"" title=""Disparos en primera persona"" href=""https://es.wikipedia.org/wiki/Disparos_en_primera_persona"">disparos en primera persona</a> táctico multijugador",,,,taxable,,1,10,,0,0,,,,,1,,,800,"Marca Ubisofy",,,http://localhost/wordpress/wp-content/uploads/2019/04/450_1000-1.jpg,,,,,,,,,0,136383833
151,simple,,"Watch Dogs 2",1,0,visible,"Es de <a class=""mw-redirect"" title=""Mundo abierto"" href=""https://es.wikipedia.org/wiki/Mundo_abierto"">mundo abierto</a>, <a title=""Videojuego de sigilo"" href=""https://es.wikipedia.org/wiki/Videojuego_de_sigilo"">sigilo</a> y de <a title=""Videojuego de disparos en tercera persona"" href=""https://es.wikipedia.org/wiki/Videojuego_de_disparos_en_tercera_persona"">disparos en tercera persona</a>estando ambientado en la ciudad de <a title=""San Francisco (California)"" href=""https://es.wikipedia.org/wiki/San_Francisco_(California)"">San Francisco</a>",,,,taxable,,1,10,,0,0,,,,,1,,400,699,"Marca Ubisofy, oferta",,,http://localhost/wordpress/wp-content/uploads/2019/04/450_1000.png,,,,,,,,,0,136383833
